,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
25,"2-Storey Townhouse (AMITA - End) for Sale in Amoa, Compostela, Cebu - with Special Offer",2.0,2.0,1.0,53.0,70.0,Amoa Enclave,,,,4200000
26,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L41 (LILY-INNER)",1.0,1.0,,34.0,52.0,Marytown Place,Blk8 Lot41 (LILY-INNER),2019.0,,1013431
27,"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ella",3.0,5.0,1.0,100.0,121.0,Camella Balanga Heights,Block18 Lot8,2016.0,,6592000
28,"3BR Townhome End Unit for Sale - Penthouse at Jubilation Enclave North, New Biñan, Laguna",2.0,3.0,2.0,90.0,80.0,Penthouse at Jubilation Enclave North,end unit,2021.0,,5300000
29,"3-Bedroom Duplex House and Lot for Sale in Villaggio Enclave, General Trias, Cavite",2.0,3.0,1.0,55.0,80.0,Villaggio Enclave,,2021.0,,3000000
30,"3BR House and Lot (Mariella Standard) for Sale in Suntrust Verona, Silang, Cavite",1.0,3.0,,63.51,88.0,Verona,Mariella Standard,,,4460000
31,"3BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Cara, NRFO",2.0,3.0,1.0,66.0,131.0,Camella Quezon,Cara,2011.0,,5898000
32,"Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer",2.0,,1.0,49.0,50.0,Ajoya Capas,,,,2100000
33,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B7 L14 (LILY-CORNER)",1.0,1.0,,34.0,64.0,Marytown Place,Blk7 Lot14 (LILY-CORNER),2019.0,,1221933
34,"2-Storey Townhouse (AMITA - Mid) for Sale in Amoa, Compostela, Cebu - with Special Offer",2.0,2.0,1.0,53.0,50.0,Amoa Enclave,,,,4200000
35,"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Arielle IU, NRFO",1.0,2.0,,36.0,40.0,Camella Gran Europa,"Arielle IU, NRFO",,,2496205
36,"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Criselle Solo, NRFO",1.0,2.0,,40.0,54.0,Camella Quezon,Criselle Solo,2011.0,,2636000
37,"Duplex House and Lot Back to Back for Sale in Ajoya Capas, Tarlac - with Special Offer",2.0,,1.0,75.0,90.0,Ajoya Capas,,,,3000000
38,"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -MARGARET Model",2.0,3.0,1.0,72.0,100.0,Lancaster New City,,,,5690000
39,"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Lyca Model",2.0,2.0,,38.0,36.0,Hana South,Lyca model,,,1918427
40,"2-Storey House (Acacia Model) for Sale in Ameria, Panabo, Davao del Norte ",5.0,4.0,,254.0,337.0,Ameria,,,,14000000
41,"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -THEA Model",2.0,3.0,1.0,60.0,50.0,Lancaster New City,,,,2395000
42,"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -THEA Model",2.0,3.0,1.0,60.0,50.0,Lancaster New City,,,,2395000
43,"Kiara Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna",1.0,3.0,1.0,79.13,60.0,Sentosa,Kiara Quadruplex Townhouse,,,2406200
44,"Shanata Two Storey SD for Sale in Sentosa, Calamba Laguna",4.0,4.0,2.0,171.5,176.0,Sentosa,Shanata Two Storey SD,,,8557360
45,"Amaya Two Storey SD for Sale in Sentosa, Calamba Laguna",3.0,4.0,1.0,149.19,176.0,Sentosa,Amaya Two Storey SD,,,7032800
46,"2-Storey 4BR House and Lot (Luciana Model) for Sale in Siena Hills, Lipa City, Batangas",4.0,4.0,2.0,174.66,176.0,Siena Hills,Luciana,,,8381730
47,"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L24",2.0,3.0,1.0,65.0,60.0,Primavera Homes Phase 2,Block 1 Lot 24,,,2945000
48,"Metro Tagaytay - Lotus Twins 2BR Duplex Bungalow House and Lot for Sale in Montebello, Alfonso, Cavite",1.0,2.0,1.0,72.0,,Montebello,Lotus Twins Duplex Bungalow,,,5400000
49,"2-Storey 4BR House and Lot (Caterina Model) for Sale in Siena Hills, Lipa City, Batangas",3.0,4.0,1.0,136.25,176.0,Siena Hills,Caterina,,,7413780
50,"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Freya",3.0,5.0,1.0,142.0,121.0,Camella Balanga Heights,Block7 Lot2,2016.0,,7751000
51,"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Greta",3.0,5.0,2.0,166.0,142.0,Camella Balanga Heights,Block6 Lot11,2016.0,,8982000
52,"2-Storey 4BR House and Lot (Elyza Model) for Sale in Governor's Hills, General Trias, Cavite",4.0,4.0,2.0,206.0,231.0,Governor's Hills,Elyza,,,8795130
53,3-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,2.0,3.0,1.0,72.0,88.0,Ajoya Pampanga,,,,3800000
54,2-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,2.0,2.0,1.0,59.0,88.0,Ajoya Pampanga,,,,3100000
55,"4-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Dani, NRFO",3.0,4.0,1.0,83.0,99.0,Camella Monticello,"Dani, NRFO",2018.0,,5969000
56,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L3-B (LILY-INNER)",1.0,1.0,,34.0,28.0,Marytown Place,Blk8 Lot3-B (LILY-INNER),2019.0,,795073
57,"3BR Bungalow House and Lot (Angelica Model) for Sale in Siena Hills, Lipa City, Batangas",2.0,3.0,1.0,67.0,150.0,Siena Hills,Angelica,,,5036925
58,1-Storey Single Attached House and Lot (ANANDA) for Sale in Amoa Compostela Cebu - with Special Offer,1.0,2.0,1.0,46.0,120.0,Amoa Enclave,,,,4300000
59,"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Elevated Garden Unit",3.0,3.0,,323.8,90.0,Likha Residences,,2019.0,,42717000
60,"For Sale: 3BR Single Attached-Complete House and Lot in North Orchard Residences, Sta. Maria, Bulacan",2.0,3.0,2.0,112.36,80.0,North Orchard Residences,,,,5182963
61,"4-Bedroom House and Lot (Gisella Model) for Sale in Suntrust Verona, Silang, Cavite",2.0,4.0,,116.64,176.0,Verona,Gisella,,,7860000
62,"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Freya, NRFO",3.0,5.0,2.0,142.0,142.0,Camella Gran Europa,"Freya, NRFO",,,9045570
63,"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Greta, NRFO",3.0,5.0,2.0,166.0,210.0,Camella Gran Europa,"Greta, NRFO",,,12167725
64,"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Ella, NRFO",3.0,5.0,,100.0,110.0,Camella Provence,Ella,2005.0,,7226000
65,"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Ezabelle, NRFO",1.0,2.0,,46.0,60.0,Camella Gran Europa,"Ezabelle, NRFO",,,3333825
66,"4-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Dani, NRFO",3.0,4.0,1.0,83.0,99.0,Camella Savannah,"Dani, NRFO",,,6400000
67,"3BR Townhouse for Sale at Zen Homes in Village East Executive Homes, Antipolo City | 6.5M",2.0,3.0,1.0,78.0,70.0,Zen Homes,,2022.0,,6500000
68,The Gentri Heights: Haila 2-Storey House for Sale in General Trias Cavite,4.0,4.0,1.0,107.78,120.0,The Gentri Heights,,,,5548360
69,"3BR Single Attached-Complete House and Lot for Sale in North Orchard Residences, Sta. Maria, Bulacan",2.0,3.0,2.0,112.36,80.0,North Orchard Residences,,,,5182963
70,"3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2.0,3.0,1.0,81.0,110.0,Ajoya Cabanatuan,,,,4700000
71,"L-R-1-1028- Acquired Property for Sale in Lot 26, Block 18 (PCS-3458), No. 3041 Zaratoga St., Fairlane Subdivision, Brgy. San Roque & San Rafael / San Vicente, Tarlac City, Tarlac",,,,289.0,245.0,,,,,5151000
72,"5-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Freya",3.0,5.0,1.0,140.0,121.0,Camella Baliwag,Freya,2009.0,,7909100
73,"2-Storey 4BR House and Lot (Jazmine Model) for Sale in Governor's Hills, General Trias, Cavite",3.0,4.0,1.0,160.0,154.0,Governor's Hills,Jazmine,,,6841640
74,"4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -ALEXANDRA Model",3.0,4.0,2.0,100.0,120.0,Lancaster New City,,,,7410000
75,"3BR House and Lot for Sale in Las Brisas at Tierra del Sol, Tanza, Cavite",2.0,3.0,,112.5,72.5,Las Brisas at Tierra del Sol,,,,4336908
76,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L65 (LILY-INNER)",1.0,1.0,,34.0,52.0,Marytown Place,Blk9 Lot65 (LILY-INNER),2019.0,,1013431
77,"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Greta, NRFO",3.0,5.0,,166.0,156.0,Camella Taal,"Greta, NRFO",,,9753000
78,5-Bedroom Single Detached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,3.0,5.0,1.0,107.0,141.0,Ajoya Pampanga,,,,5200000
79,"2-Storey 4BR House and Lot (Orabella Model) for Sale in Siena Hills, Lipa City, Batangas",3.0,4.0,1.0,147.23,176.0,Siena Hills,Orabella,,,7860710
80,"2-Storey 3BR House and Lot (Ysabella Premium) for Sale in Governor's Hills, General Trias, Cavite",2.0,3.0,1.0,109.5,120.0,Governor's Hills,Ysabella Premium,,,5039190
81,"Azalea 3-Bedroom Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",2.0,3.0,1.0,65.0,60.0,Primavera Homes Phase 2,Azalea 3BR Townhouse,2017.0,,2698000
82,"House and Lot with 5 bedroom for Sale in Verona, Lumil, Silang-Amadea",3.0,5.0,,179.02,176.0,Verona,Amadea,,,9268000
83,"N-R-1-75- Acquired Property  for Sale in Lot 3, Block 2, Avenida Torino St., Camella Tagum Subdivision, Brgy. Visayan Village, Tagum City, Davao del Norte",,,,97.0,110.0,,,,,3447600
84,"5BR Single Attached House and Lot for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",3.0,5.0,2.0,150.0,150.0,The Villages at Lipa,,,,7900000
85,"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Greta, RFO",3.0,5.0,2.0,166.0,166.0,Camella Gran Europa,"Greta, RFO",,,12254710
86,"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Andorra-Bare Inner Unit",1.0,3.0,1.0,62.5,50.0,The Arcadia,Andorra-Bare Inner Unit,2020.0,,2624075
87,"2BR 2-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavite | Cielo Ph 2",2.0,2.0,1.0,96.2,100.0,Ara Vista Village,Cielo Phase 2,,,4353328
88,"2BR Townhouse House and Lot (Stanza Model) for Sale in Gran Avila, Calamba, Laguna",1.0,2.0,,43.0,47.25,Gran Avila,,,,1840805
89,"M-R-3-108- Acquired Property for Sale in Unit 506, 5/F, Sapphire Building 2-A, Fini Homes Condominium, No. 80, Ramon Delfin St., Brgy. Marulas, Valenzuela City - Sub",,,,51.44,,,,,,2797145
90,"4-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ADELLE Model",2.0,4.0,1.0,70.0,60.0,Lancaster New City,,,,3336800
91,"2BR Townhouse House and Lot (Stanza Model) for Sale in Gran Avila, Calamba, Laguna",1.0,2.0,,43.0,47.25,Gran Avila,,,,1840805
92,"2BR Triplex House (Katrina Townhomes) for Sale in Governor's Hills, General Trias, Cavite",1.0,2.0,,88.1,74.0,Governor's Hills,Katrina Townhomes,,,2581630
93,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L3-A (LILY-CORNER)",1.0,1.0,,34.0,31.0,Marytown Place,Blk8 Lot3-A (LILY-CORNER),2019.0,,894144
94,"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ALICE Model",1.0,3.0,1.0,40.0,40.0,Lancaster New City,,,,1880600
95,"Charlize 3BR Single Attached House for Sale in West Beverly Hills, Dasmariñas Cavite",3.0,3.0,1.0,119.1,104.0,West Beverly Hills,,,,5421509
96,"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -THEA Model",2.0,3.0,1.0,60.0,50.0,Lancaster New City,,,,2395000
97,"3BR House and Lot for Sale in Las Brisas at Tierra del Sol, Tanza, Cavite",2.0,3.0,,112.5,72.5,Las Brisas at Tierra del Sol,,,,4336908
98,"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ALICE Model",1.0,3.0,1.0,40.0,40.0,Lancaster New City,,,,1880600
99,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L56 (LILY-INNER)",1.0,1.0,,34.0,28.0,Marytown Place,Blk9 Lot56 (LILY-INNER),2019.0,,795073
100,"4-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ADELLE Model",2.0,4.0,1.0,70.0,60.0,Lancaster New City,,,,3336800
101,"3-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - with Special Offer",2.0,3.0,2.0,100.0,200.0,Seafront Residences,,,,11300000
102,"Catherine 3BR Single Attached House for Sale in West Beverly Hills, Dasmariñas, Cavite",3.0,3.0,1.0,121.4,98.0,West Beverly Hills,,,,4300000
103,"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Ezabelle, NRFO",1.0,2.0,,42.0,63.0,Camella Monticello,"Ezabelle, NRFO",2018.0,,3109000
104,"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ANICA Model",1.0,3.0,1.0,50.0,50.0,Lancaster New City,,,,2389000
105,"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Model",2.0,3.0,1.0,72.0,100.0,Lancaster New City,,,,5690000
106,"For Sale: 3-Storey 4BR House and Lot in The Villas at Dasmariñas Highlands, Dasmariñas, Cavite",4.0,4.0,,155.06,66.0,The Villas at Dasmariñas Highlands,,,,8473000
107,"Magnolia 2-Bedroom Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",1.0,2.0,1.0,50.0,60.0,Primavera Homes Phase 2,Magnolia 2BR Townhouse,2017.0,,1995000
108,"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -CHESSA Model",3.0,3.0,2.0,90.0,100.0,Lancaster New City,,,,5978000
109,"2-Storey 3BR House and Lot (Fiorenza Premium) for Sale in Siena Hills, Lipa City, Batangas",2.0,3.0,1.0,117.24,120.0,Siena Hills,Fiorenza Premium,,,6085537
110,"North Orchard Residences - 3BR Single Attached-Complete House and Lot for Sale in Sta. Maria, Bulacan",2.0,3.0,2.0,112.36,80.0,North Orchard Residences,,,,5182963
111,"3BR Quadruplex (Kiara Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna",1.0,3.0,1.0,79.13,60.0,Sentosa,Kiara Townhouse Inner,,,2406200
112,"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -GABRIELLE Model",2.0,3.0,1.0,84.0,120.0,Lancaster New City,,,,6650000
113,"4-Bedroom House and Lot (Caterina Model) for Sale in Suntrust Verona, Silang, Cavite",3.0,4.0,,136.25,176.0,Verona,Caterina,,,8466000
114,"For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",2.0,3.0,1.0,75.0,112.0,PTC Suncrest,Rosanna (Single Attached),,,5234791
115,"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang-Fiorenza Standard",2.0,3.0,,112.6,120.0,Verona,Florenza,,,5941000
116,"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang-Luciana",4.0,3.0,,174.66,176.0,Verona,Luciana,,,9434000
117,"3-Bedroom House (Caballero Model) for Sale in Ameria, Panabo, Davao del Norte",2.0,3.0,,122.0,294.0,Ameria,,,,9311032
118,"4-Bedroom House and Lot (Orabella Model) for Sale in Suntrust Verona, Silang, Cavite",3.0,4.0,,147.23,176.0,Verona,Orabella,,,8913000
119,"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Jasmine Model",2.0,3.0,,124.0,388.0,Ameria,,,,12000000
120,4-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,3.0,4.0,1.0,91.0,110.0,Ajoya Pampanga,,,,4400000
121,"3BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Cara, RFO",2.0,3.0,,66.0,88.0,Camella Quezon,Cara,2011.0,,5110000
122,"3-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Cara",2.0,3.0,,66.0,94.0,Camella Balanga Heights,Block4 Lot16,2016.0,,5057000
123,"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Alli",1.0,2.0,,40.0,88.0,Camella Provence,"Alli, NRFO",2005.0,,4324000
124,"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Elaisa WB, RFO",3.0,5.0,,97.0,130.0,Camella Taal,"Elaisa WB, RFO",2014.0,,7735000
125,"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Andorra Inner Unit Complete",1.0,3.0,1.0,62.5,50.0,The Arcadia,Andorra Inner Unit Complete,2020.0,,2643963
126,"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Criselle",1.0,2.0,,40.0,54.0,Camella Baliwag,Criselle,2009.0,,2813000
127,"5-Bedroom House and Lot (Amadea Model) for Sale in Suntrust Verona, Silang, Cavite",3.0,5.0,,179.02,176.0,Verona,Amadea,,,9268000
128,"For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",2.0,3.0,1.0,75.0,112.0,PTC Suncrest,Rosanna (Single Attached),,,5234791
129,"2BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Arielle, NRFO/BTS/RFO",1.0,2.0,,36.0,40.0,Camella Provence,Arielle,2005.0,,2424000
130,"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -ALEXANDRA Model",3.0,4.0,2.0,100.0,120.0,Lancaster New City,,,,7410000
131,"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -AIRA Model",2.0,3.0,1.0,80.0,92.0,Lancaster New City,,,,5282600
132,"4-Bedroom House and Lot (Caterina Model) for Sale in Suntrust Verona, Silang, Cavite",3.0,4.0,,136.25,176.0,Verona,Caterina,,,8466000
133,RFO 3BR Townhouse for Sale in The Arcadia | Boundary of Angeles and Porac Pampanga | Anais-Bare Inner Unit,1.0,3.0,1.0,78.73,63.0,The Arcadia,Anais-Bare Inner Unit,2020.0,,2820800
134,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3.0,3.0,,250.0,92.0,Likha Residences,,2019.0,,29826000
135,"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Elevated Garden Unit",3.0,3.0,,323.8,90.0,Likha Residences,,2019.0,,42717000
136,"4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -BRIANA Model",3.0,4.0,2.0,110.0,100.0,Lancaster New City,,,,6756360
137,"2-Storey 4BR House and Lot (Amaya Model) for Sale in Suntrust Sentosa, Calamba, Laguna",3.0,4.0,1.0,149.19,176.0,Sentosa,Amaya,,,7032800
138,"2-Storey 4BR House and Lot (Niran Model) for Sale in Suntrust Sentosa, Calamba, Laguna",2.0,4.0,1.0,115.08,176.0,Sentosa,Niran,,,6396780
139,"2-Storey 4BR House and Lot (Micaella Model) for Sale in Siena Hills, Lipa City, Batangas",3.0,4.0,1.0,178.7,176.0,Siena Hills,Micaella,,,9540880
140,"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L23",2.0,3.0,1.0,65.0,60.0,Primavera Homes Phase 2,Block 1 Lot 23,,,2945000
141,"Zinia 2BR Loft Type Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",1.0,2.0,1.0,42.0,60.0,Primavera Homes Phase 2,Block 22 Lot 17,,,1638000
142,"3-Storey 4BR House and Lot for Sale in The Villas at Dasmariñas Highlands, Dasmariñas, Cavite",4.0,4.0,,155.06,66.0,The Villas at Dasmariñas Highlands,,,,8473000
143,"The Villas at Dasmariñas Highlands - 3-Storey 4BR House and Lot for Sale in Dasmariñas, Cavite",4.0,4.0,,155.06,66.0,The Villas at Dasmariñas Highlands,,,,8473000
144,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L62 (LILY-INNER)",1.0,1.0,,34.0,28.0,Marytown Place,Blk9 Lot62 (LILY-INNER),2019.0,,795073
145,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L15 (LILY-END)",1.0,1.0,,34.0,41.0,Marytown Place,Blk14 Lot15 (LILY-END),2019.0,,913350
146,"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite",1.0,3.0,,93.91,88.0,Verona,Mariella Premium,,,4956000
147,"2-Storey 4BR House and Lot (Micaela Model) for Sale in Suntrust Verona, Silang, Cavite",3.0,4.0,,178.7,176.0,Verona,Micaela,,,10592480
148,"3-Bedroom House and Lot (Luciana Model) for Sale in Suntrust Verona, Silang, Cavite",4.0,3.0,,174.66,176.0,Verona,Luciana,,,9434000
149,"3 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Sabrina",2.0,3.0,,60.0,110.0,San Francisco Heights,,,,4442000
150,"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite",1.0,3.0,,93.91,88.0,Verona,Mariella Premium,,,4956000
151,"3 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Sabrina",2.0,3.0,,60.0,110.0,San Francisco Heights,,,,4442000
152,"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Ezabelle",1.0,2.0,,46.0,60.0,Camella Baliwag,Ezabelle,2009.0,,3079000
153,"4-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Dana, NRFO",3.0,4.0,,85.0,99.0,Camella Taal,"Dana, NRFO",2014.0,,6380000
